uniprot_id	nac_fraction_holo	nac_holo_idxs	n_confident_models	prmsd_mean	prmsd_std	nac_fraction_apo	nac_apo_idxs
A0A064CG00	0.32432432432432434	3;4;6;8;11;12;14;16;26;28;31;37	37	2.824920129776001	1.258162586756757	0.68	1;2;3;6;8;9;10;11;12;13;14;15;18;19;21;22;23;24;26;27;28;29;31;32;34;35;36;37;38;39;40;41;42;43;44;46;47;48;49;52;53;55;59;60;61;63;66;67;72;74;75;76;77;78;79;83;84;85;87;90;91;93;94;95;97;98;99;100
A0A0F4ES51	0.3191489361702128	1;5;13;14;16;25;28;29;30;32;33;34;41;43;47	47	2.6447215497493746	1.1886572481612867	0.51	1;3;4;6;9;10;11;12;13;18;19;20;21;22;23;25;29;31;32;33;34;35;40;41;43;44;45;46;48;53;54;55;57;58;60;61;62;63;64;68;69;70;72;73;76;77;80;82;90;92;95
A0A0F5NA60	0.2727272727272727	2;3;4;6;10;11;13;15;21;29;40;43	44	2.6522959446907044	1.1858952731387453	0.73	1;2;3;4;5;6;7;9;11;12;13;15;16;18;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;37;38;39;40;41;42;43;46;47;48;50;51;53;54;55;57;59;60;61;62;63;65;66;67;68;71;73;75;77;78;79;80;81;82;83;85;86;87;88;92;93;97;99;100
A0A0H3MCY6	0.3125	1;4;6;7;8;9;14;15;19;21;22;31;33;37;48	48	2.4841429007053377	1.3586636417601672	0.89	1;2;3;4;5;6;7;9;10;11;12;13;16;17;18;20;21;22;23;24;25;26;27;28;29;30;31;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;52;53;54;56;57;58;59;60;61;62;63;64;66;67;68;69;70;71;72;73;74;75;76;77;78;80;81;82;84;85;86;87;88;89;90;91;92;93;94;95;96;98;99;100
A0A0I9Z3I8	0.3269230769230769	3;9;13;15;18;19;22;25;28;30;32;35;36;43;47;50;52	52	2.3575599646568297	1.2181036169033683	0.96	1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;17;18;19;20;21;22;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
A0A0J8TWL2	0.45454545454545453	6;7;8;11;12;14;16;17;18;19;23;24;25;27;32	33	2.7303425228595732	1.032201761886929	0.59	1;2;4;5;6;7;8;9;10;11;13;15;16;17;18;19;22;24;25;26;27;28;29;31;32;34;35;36;37;39;40;41;47;49;53;55;57;58;59;60;61;63;65;66;67;68;70;72;73;74;77;84;85;87;88;91;93;95;100
A0A0N9YG13	0.2962962962962963	3;6;8;16;18;19;24;31;34;36;38;42;43;44;48;54	54	2.379976990222931	1.1242534868398542	0.52	1;2;3;4;6;8;9;12;13;15;18;20;22;23;24;26;32;35;37;40;43;44;46;47;49;50;51;52;53;58;61;64;65;66;67;69;72;73;74;75;77;78;79;85;86;89;91;92;93;95;96;100
A0A0U1E1C0	0.3220338983050847	5;6;12;19;20;22;23;29;30;31;35;36;37;38;42;44;45;48;55	59	2.2870740950107575	1.1898732156271379	0.82	1;3;4;5;6;7;8;9;10;12;13;14;15;16;17;18;19;20;21;22;23;24;25;27;28;29;30;32;34;35;37;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;70;71;73;74;76;77;79;80;81;82;83;86;87;89;93;94;95;97;98;99;100
A0A179V396	0.38235294117647056	5;7;9;12;14;15;16;19;23;24;27;32;34	34	2.9388800168037417	1.2139408355668488	0.87	1;2;3;4;5;6;7;8;9;10;11;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;32;33;34;35;36;37;38;39;41;42;45;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;65;66;67;69;70;71;72;73;74;75;76;77;79;80;81;82;83;84;87;88;89;91;92;93;95;96;97;98;99;100
A0A1A2DP38	0.5238095238095238	1;2;3;4;5;6;9;12;15;16;20;22;23;26;28;29;30;31;33;37;40;42	42	2.615799816250801	1.2616019081259808	0.81	1;2;3;4;5;6;7;8;10;12;13;14;15;16;17;18;19;21;22;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;50;52;53;54;55;56;57;58;59;60;61;62;63;65;66;67;69;70;71;72;73;74;76;77;80;81;82;83;86;87;88;89;92;94;95;97;98;100
A0A1B8SKL4	0.45454545454545453	1;5;9;10;13;14;15;17;19;21;22;24;25;27;28;30;31;33;34;37	44	2.685667709708214	1.174132064883896	0.82	1;2;3;4;5;6;7;8;9;10;11;12;13;15;16;17;18;19;20;21;23;24;26;27;28;29;30;31;33;34;35;36;37;38;39;40;41;43;44;45;46;47;50;51;52;53;54;55;57;58;60;61;62;63;65;67;69;71;72;73;74;75;77;78;79;80;82;83;85;86;87;88;89;90;91;92;93;94;96;97;98;100
A0A1E3RBW0	0.2641509433962264	3;5;14;16;18;25;26;30;33;38;39;43;48;50	53	2.4502503007650374	1.349117216782164	0.7	2;6;7;8;9;10;11;12;13;14;15;17;18;19;20;21;22;23;24;27;28;29;30;31;32;33;34;36;37;38;39;41;43;46;47;48;49;50;51;52;53;54;56;57;58;59;60;61;62;63;64;66;68;70;75;77;78;80;82;83;84;85;86;87;89;90;94;95;96;100
A0A1E3SV84	0.5806451612903226	2;3;4;6;9;10;11;12;13;14;16;23;24;25;26;27;28;31	31	3.081171214580536	1.2276231742278165	0.88	1;2;3;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;45;46;47;48;49;50;51;52;53;55;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;79;80;81;82;83;84;86;87;88;89;90;92;94;95;96;98;99;100
