uniprot_id,apo_entropy_norm_mean,apo_entropy_norm_std,apo_dom_occ_mean,apo_dom_occ_std,apo_fraction_locked,apo_prmsd_mean,apo_prmsd_std,holo1_entropy_norm_mean,holo1_entropy_norm_std,holo1_dom_occ_mean,holo1_dom_occ_std,holo1_fraction_locked,holo1_prmsd_mean,holo1_prmsd_std,holo2_entropy_norm_mean,holo2_entropy_norm_std,holo2_dom_occ_mean,holo2_dom_occ_std,holo2_fraction_locked,holo2_prmsd_mean,holo2_prmsd_std
J9WJC3,0.08816488287722471,0.11163919490370112,0.914,0.15127458477880545,0.9,0.9299956345558167,0.022549281773816,0.2072950184942201,0.184269146552774,0.7966666666666666,0.21063396370639437,0.6111111111111112,3.414939856529236,1.3297305215555442,0.19109733555181627,0.17513758078434152,0.7899999999999999,0.22421290902048563,0.6428571428571429,4.868626379966736,1.6351166653317089
A0A5C7YBR3,0.0982414959811732,0.1585450126029548,0.8953846153846153,0.18449996391975398,0.7692307692307693,0.9426834857463837,0.025660666353711902,0.20720343543244177,0.18934697490332486,0.7894736842105263,0.2166120394236403,0.5789473684210527,2.6508091473579407,1.2227897991761132,0.14499838090445427,0.13663982541375982,0.88125,0.14873949542740825,0.875,3.1066193699836733,2.0824181256713707
B2HE95,0.10295004681450648,0.1804825657856676,0.9116666666666666,0.1686136280244143,0.8333333333333334,0.9634959650039673,0.035205425298326085,0.12825245119251139,0.1476365607538116,0.88,0.1638596960817394,0.8125,3.8077466464042664,1.3719922040606032,0.16068197169297488,0.16073228973342066,0.8426666666666667,0.1873131661742501,0.7333333333333333,4.74245689868927,1.8941614756481284
A0AB33ACF4,0.10301555787856173,0.11223712009240389,0.9175,0.1598241220842461,0.875,0.9876524031162262,0.03382360385931615,0.2448734126085803,0.26078814573592685,0.8242857142857142,0.2077331490746958,0.7857142857142857,5.0180213832855225,1.9289333308179613,0.20693521413011917,0.27866729778932164,0.8323076923076923,0.21633854687481224,0.6923076923076923,4.181238317489624,1.6364111501563352
A0A5R8YUR2,0.10310849997989635,0.1670025734362598,0.8963636363636364,0.2028556462688197,0.8181818181818182,1.0576579141616822,0.03471149269670366,0.2140221647687609,0.2193574464659624,0.8133333333333334,0.21406125810669763,0.6666666666666666,3.520886387825012,1.1505480181420302,0.1706794891173409,0.17785385152500566,0.845,0.19215878850575632,0.75,3.3100949478149415,2.0120555787578733
A0A0F4ES51,0.10369185336756424,0.11838158281740037,0.9076923076923078,0.15913969896597846,0.8461538461538461,0.9488443613052369,0.034240990257527484,0.2337295552716119,0.213373361019468,0.7705263157894738,0.22843802992935644,0.5789473684210527,3.1336370420455935,1.3311395973394087,0.19665312239450838,0.213804638386022,0.8099999999999999,0.2266053838724932,0.6875,3.6052974605560304,1.9001541077837076
A0AAJ1W4G5,0.10895537241958193,0.13510316690306948,0.9066666666666666,0.15563490039905,0.8333333333333334,0.8733250486850739,0.030065476602181583,0.15897216373326428,0.15495747472429766,0.8333333333333333,0.18726095873584186,0.7222222222222222,3.806790599822998,1.7347186218232868,0.14549969311224906,0.14971404175490347,0.8506666666666667,0.17295342982690134,0.8,4.005225598812103,1.7389334908930465
A0A1A2VM45,0.11046310206480942,0.1338866904312564,0.8927272727272726,0.15309479589106095,0.7272727272727273,0.9216863346099854,0.028838328485538627,0.21150521357856142,0.192259739455337,0.7800000000000001,0.20488160139025488,0.5882352941176471,3.6023100280761717,1.5002380544038614,0.20345856337974597,0.18916080935877808,0.7986666666666665,0.20752081555566634,0.7333333333333333,4.500821061134339,1.505725037130825
A0A0F5MSZ2,0.11078250363691244,0.15673917270600282,0.9014285714285714,0.1634388108680407,0.7857142857142857,0.9273657250404358,0.026017204274334776,0.21076341841717303,0.19277923208268596,0.7963636363636364,0.2007835889378832,0.6363636363636364,2.5893525671958924,1.157160543407646,0.20064463607463964,0.16441154556603393,0.8226666666666667,0.1784177370355562,0.7333333333333333,2.3967819035053255,1.7497349927262096
A0A0Q2M080,0.11230580740560259,0.14254920395986587,0.8983333333333333,0.170383554240295,0.8333333333333334,0.8839738178253174,0.030952495827367137,0.17323442732620636,0.15874356514530205,0.8117647058823529,0.20603355792108083,0.6470588235294118,3.350303337574005,1.5974240911114324,0.1786198431962962,0.14920048438883782,0.8053333333333333,0.20218363490209149,0.6666666666666666,4.354274477958679,1.625274894057327
A0A1A0VBY7,0.11316218846358839,0.12859966029844863,0.8983333333333334,0.14752589226603202,0.8333333333333334,0.9212402594089508,0.025089892296136944,0.1919936999235958,0.1719528462432125,0.8322222222222222,0.17915094676946328,0.7222222222222222,3.84510986328125,1.7985864267390368,0.17150446439092007,0.17226432584405116,0.8186666666666667,0.2070061727474704,0.6666666666666666,5.439784069061279,1.765694364991027
H8IJH7,0.11359163760353722,0.11027615192531223,0.9019999999999999,0.15269577597301112,0.8,0.9585661327838898,0.0314038878342726,0.20381800500658875,0.18516930205505747,0.7835294117647059,0.2207191768227243,0.5882352941176471,3.1617683506011964,1.5663057058724519,0.22239057019759512,0.16098881932698203,0.7626666666666666,0.20705769458991105,0.6,4.495825901031494,1.751493101410805
A0A0U1D4T9,0.11373166461171816,0.133480819361206,0.8859999999999999,0.18178008691823205,0.8,0.9687254083156586,0.023383158203195115,0.18293344767145583,0.183954010255356,0.8235294117647058,0.1996744755690412,0.7058823529411765,2.9760511326789856,1.4462848175765004,0.2152351595340127,0.17489821031620098,0.78,0.21725560982400433,0.6666666666666666,4.043206400871277,1.7731886228079226
A0A1Y5Y6P3,0.11382887997853684,0.14669964246897002,0.8945454545454545,0.18032110935589,0.8181818181818182,1.0265548956394195,0.03647171900250424,0.20793658773105153,0.1926624547797124,0.8052631578947369,0.20732299796396092,0.6842105263157895,3.640196304321289,1.7585263955235424,0.11877324730961014,0.12505212059583187,0.88,0.17218321295506542,0.8235294117647058,2.6187799525260926,1.8506186605354233
A0A1A3KPW7,0.11413859843122286,0.13512609334599526,0.903076923076923,0.14672761867773987,0.8461538461538461,0.8578161442279816,0.02402762577302052,0.15628934500113514,0.1505533619146147,0.8400000000000001,0.17061978522759635,0.7222222222222222,3.6506966280937196,1.4709251337902716,0.14726573313199234,0.13776847680218443,0.8253333333333333,0.19818734122597795,0.6666666666666666,4.652599399089813,1.571959076458684
A0A1T3NUL4,0.11456116715958446,0.17194155187942478,0.903076923076923,0.16767113486660612,0.8461538461538461,0.918765835762024,0.0286316001297506,0.16796241048638944,0.1725568743488281,0.8514285714285714,0.19218755012166813,0.8095238095238095,2.962131097316742,1.5077823725220962,0.11426561171312999,0.11608988857819515,0.8946666666666665,0.15413702417726322,0.8,2.904577097892761,1.466422982097366
